Price,Mileage
17266.00,31336.00
17900.00,9474.00
11998.00,83731.00
5985.00,114329.00
13995.00,32524.00
20301.00,10.00
11969.00,72446.00
5650.00,126516.00
2200.00,169000.00
7999.00,88787.00
21120.00,7.00
5795.00,94092.00
13799.00,29381.00
7889.00,98000.00
8943.00,80080.00
16966.00,35826.00
6996.00,84000.00
1548.00,236159.00
4995.00,153525.00
4500.00,185200.00
3994.00,152440.00
5900.00,184000.00
2599.00,217000.00
2500.00,170000.00
5695.00,155350.00
6300.00,161000.00
7642.00,124554.00
9992.00,57009.00
16866.00,35833.00
9980.00,104000.00
22660.00,7.00
16420.00,14925.00
14842.00,24462.00
5995.00,96145.00
9495.00,121000.00
3995.00,107000.00
7999.00,83000.00
5995.00,80000.00
15874.00,33581.00
5000.00,114358.00
17674.00,12.00